200	477	482	丁字路口19	0
201	472	396	十字路口14	0
202	466	483	nobody	0
203	466	471	综合食堂西门	1
204	463	413	综合食堂东门	1
205	462	396	nobody	0
206	458	381	学生活动中心南门	1
207	448	531	留学生公寓	1
208	437	531	nobody	0
209	436	518	nobody	0
210	431	500	nobody	0
211	431	484	十字路口15	0
212	427	400	丁字路口20	0
213	427	385	学生活动中心北门	1
214	417	530	学生公寓九号楼	1
215	404	401	丁字路口21	0
216	383	403	丁字路口22	0
217	385	489	十字路口16	0
218	385	526	nobody	0
219	369	526	学生公寓十一号楼	1
220	386	558	北邮科技酒店	1
221	345	492	nobody	0
222	336	480	nobody	0
223	336	405	丁字路口23	0
224	337	387	菜鸟驿站	1
225	327	406	北门	1
226	393	379	经济管理学院楼	1
227	402	378	nobody	0
228	470	369	nobody	0
229	495	369	nobody	0
230	494	358	报亭	1
231	584	359	小松林	1
232	599	355	nobody	0
233	607	356	时光广场	1
234	599	336	图书馆	1
235	722	311	教学楼一号楼南门	1
236	738	311	丁字路口24	0
237	799	342	国旗	1
238	798	308	丁字路口25	0
239	797	290	教学楼主楼	1
240	857	306	丁字路口26	0
241	875	304	教学楼二号楼	1
242	857	253	丁字路口27	0
243	927	251	丁字路口28	0
244	856	242	丁字路口29	0
245	916	216	创新中心	1
246	927	217	nobody	0
247	923	184	nobody	0
248	855	185	丁字路口30	0
249	770	244	nobody	0
250	770	232	科学会堂	1
251	745	244	丁字路口31	0
252	736	245	丁字路口32	0
253	742	236	nobody	0
254	701	244	丁字路口33	0
255	676	245	nobody	0
256	676	257	教学楼一号楼东门	1
257	659	245	十字路口17	0
258	572	246	丁字路口34	0
259	535	248	丁字路口35	0
260	535	230	学生食堂西门	1
261	514	248	nobody	0
262	515	256	教工餐厅	1
263	494	247	丁字路口36	0
264	494	230	nobody	0
265	479	230	科研大楼南一门	1
266	466	251	丁字路口37	0
267	467	267	nobody	0
268	482	267	图片社	0
269	479	331	学苑超市	1
270	469	331	nobody	0
271	455	331	移动营业厅	0
272	455	344	澡堂	1
273	470	344	nobody	0
274	426	252	nobody	0
275	426	256	水房	1
276	397	258	丁字路口38	0
277	400	329	十字路口18	0
278	427	326	nobody	0
279	357	327	nobody	0
280	352	339	nobody	0
281	339	344	nobody	0
282	387	259	nobody	0
283	383	255	nobody	0
284	370	259	nobody	0
285	370	290	学生公寓六号楼	1
286	385	227	丁字路口39	0
287	363	227	nobody	0
288	356	223	nobody	0
289	354	186	十字路口19	0
290	385	185	丁字路口40	0
291	341	188	nobody	0
292	331	188	nobody	0
293	325	195	nobody	0
294	327	237	nobody	0
295	386	159	丁字路口41	0
296	446	149	丁字路口42	0
297	475	148	nobody	0
298	474	166	科研大楼东门	1
299	491	148	十字路口20	0
300	491	200	nobody	0
301	476	200	科研大楼南二门	1
302	559	194	学生食堂南门	1
303	571	195	nobody	0
304	567	144	丁字路口43	0
305	557	118	家属区	1
306	567	118	nobody	0
307	564	91	十字路口21	0
308	555	85	nobody	0
309	512	86	丁字路口44	0
310	483	86	十字路口22	0
311	429	88	十字路口23	0
312	382	88	丁字路口45	0
313	381	65	丁字路口46	0
314	360	65	nobody	0
315	350	73	nobody	0
316	380	47	丁字路口47	0
317	427	46	丁字路口48	0
318	440	54	nobody	0
319	440	46	nobody	0
320	478	46	丁字路口49	0
321	480	69	nobody	0
322	488	68	保卫处	1
323	512	42	丁字路口50	0
324	562	40	丁字路口51	0
325	555	51	基建处	1
326	562	51	nobody	0
327	647	37	十字路口24	0
328	647	25	东门	1
329	657	34	nobody	0
330	665	32	丁字路口52	0
331	649	58	nobody	0
332	628	58	学生公寓29号楼	1
333	650	87	十字路口25	0
334	665	86	丁字路口53	0
335	656	196	丁字路口54	0
336	676	194	丁字路口55	0
337	682	197	nobody	0
338	702	171	体育馆	1
339	702	197	丁字路口56	0
340	701	212	丁字路口57	0
341	744	211	丁字路口58	0
342	744	192	丁字路口59	0
343	744	186	丁字路口60	0
344	743	89	nobody	0
345	750	79	nobody	0
346	759	74	nobody	0
347	764	64	nobody	0
348	758	32	nobody	0
349	747	32	nobody	0
350	778	185	丁字路口61	0
351	802	184	丁字路口62	0
352	801	173	nobody	0
353	778	173	丁字路口63	0
354	773	167	nobody	0
355	773	150	操场	1
356	545	442	十字路口26	0
357	802	498	校训石	1
358	800	424	毛泽东雕像	1
359	445	572	青年公寓	1
360	404	407	学生公寓十号楼	1
